"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2011","France","PK","Total","Total","Person","0",""
"2011","France","LK","Total","Total","Person","0",""
"2011","France","BN","Total","Total","Person","0",""
"2011","France","KH","Total","Total","Person","0",""
"2011","France","ID","Total","Total","Person","0",""
"2011","France","LA","Total","Total","Person","0",""
"2011","France","MY","Total","Total","Person","0",""
"2011","France","MM","Total","Total","Person","0",""
"2011","France","PH","Total","Total","Person","0",""
"2011","France","SG","Total","Total","Person","0",""
"2011","France","TH","Total","Total","Person","0",""
"2011","France","TL","Total","Total","Person","0",""
"2011","France","VN","Total","Total","Person","0",""
"2011","France","AM","Total","Total","Person","0",""
"2011","France","AZ","Total","Total","Person","0",""
"2011","France","BH","Total","Total","Person","0",""
"2011","France","GE","Total","Total","Person","0",""
"2011","France","IQ","Total","Total","Person","70",""
"2011","France","IL","Total","Total","Person","0",""
"2011","France","JO","Total","Total","Person","0",""
"2011","France","KW","Total","Total","Person","0",""
"2011","France","LB","Total","Total","Person","0",""
"2011","France","PS","Total","Total","Person","15",""
"2011","France","OM","Total","Total","Person","0",""
"2011","France","QA","Total","Total","Person","0",""
"2011","France","SA","Total","Total","Person","0",""
"2011","France","SY","Total","Total","Person","0",""
"2011","France","AE","Total","Total","Person","0",""
"2011","France","YE","Total","Total","Person","0",""
"2011","France","AU","Total","Total","Person","0",""
"2011","France","NZ","Total","Total","Person","0",""
"2011","France","FJ","Total","Total","Person","0",""
"2011","France","PG","Total","Total","Person","0",""
"2011","France","SB","Total","Total","Person","0",""
"2011","France","VU","Total","Total","Person","0",""
"2011","France","KI","Total","Total","Person","0",""
"2011","France","MH","Total","Total","Person","0",""
"2011","France","FM","Total","Total","Person","0",""
"2011","France","NR","Total","Total","Person","0",""
"2011","France","PW","Total","Total","Person","0",""
"2011","France","CK","Total","Total","Person","0",""
"2011","France","WS","Total","Total","Person","0",""
"2011","France","TO","Total","Total","Person","0",""
"2011","France","TV","Total","Total","Person","0",""
"2011","France","TOTAL","Total","Total","Person","130",""
"2012","France","AO","Total","Total","Person","0",""
"2012","France","CM","Total","Total","Person","0",""
"2012","France","CF","Total","Total","Person","0",""
"2012","France","TD","Total","Total","Person","0",""
"2012","France","CG","Total","Total","Person","0",""
"2012","France","CD","Total","Total","Person","25",""
"2012","France","GQ","Total","Total","Person","0",""
"2012","France","GA","Total","Total","Person","0",""
"2012","France","ST","Total","Total","Person","0",""
"2012","France","BI","Total","Total","Person","0",""
"2012","France","KM","Total","Total","Person","0",""
"2012","France","DJ","Total","Total","Person","0",""
"2012","France","ER","Total","Total","Person","0",""
"2012","France","ET","Total","Total","Person","15",""
"2012","France","KE","Total","Total","Person","0",""
"2012","France","MG","Total","Total","Person","0",""
"2012","France","MW","Total","Total","Person","0",""
"2012","France","MU","Total","Total","Person","0",""
"2012","France","MZ","Total","Total","Person","0",""
"2012","France","RW","Total","Total","Person","5",""
"2012","France","SC","Total","Total","Person","0",""
"2012","France","SO","Total","Total","Person","5",""
"2012","France","UG","Total","Total","Person","0",""
"2012","France","TZ","Total","Total","Person","0",""
"2012","France","ZM","Total","Total","Person","0",""
"2012","France","ZW","Total","Total","Person","0",""
"2012","France","DZ","Total","Total","Person","0",""
"2012","France","EG","Total","Total","Person","0",""
"2012","France","LY","Total","Total","Person","0",""
"2012","France","MA","Total","Total","Person","0",""
"2012","France","SS","Total","Total","Person","0",""
"2012","France","SD","Total","Total","Person","0",""
"2012","France","TN","Total","Total","Person","0",""
"2012","France","EH","Total","Total","Person","0",""
"2012","France","BW","Total","Total","Person","0",""
"2012","France","LS","Total","Total","Person","0",""
"2012","France","NA","Total","Total","Person","0",""
"2012","France","ZA","Total","Total","Person","0",""
"2012","France","SZ","Total","Total","Person","0",""
"2012","France","BJ","Total","Total","Person","0",""
"2012","France","BF","Total","Total","Person","0",""
"2012","France","CV","Total","Total","Person","0",""
"2012","France","CI","Total","Total","Person","5",""
"2012","France","GM","Total","Total","Person","0",""
"2012","France","GH","Total","Total","Person","0",""
"2012","France","GN","Total","Total","Person","0",""
"2012","France","GW","Total","Total","Person","0",""
"2012","France","LR","Total","Total","Person","0",""
"2012","France","ML","Total","Total","Person","0",""
"2012","France","MR","Total","Total","Person","5",""
"2012","France","NE","Total","Total","Person","0",""
"2012","France","NG","Total","Total","Person","0",""
"2012","France","SN","Total","Total","Person","0",""
"2012","France","SL","Total","Total","Person","0",""
"2012","France","TG","Total","Total","Person","0",""
"2012","France","CA","Total","Total","Person","0",""
"2012","France","US","Total","Total","Person","0",""
"2012","France","AG","Total","Total","Person","0",""
"2012","France","BS","Total","Total","Person","0",""
"2012","France","BB","Total","Total","Person","0",""
"2012","France","CU","Total","Total","Person","0",""
"2012","France","DM","Total","Total","Person","0",""
"2012","France","DO","Total","Total","Person","0",""
"2012","France","GD","Total","Total","Person","0",""
"2012","France","HT","Total","Total","Person","0",""
"2012","France","JM","Total","Total","Person","0",""
"2012","France","KN","Total","Total","Person","0",""
"2012","France","LC","Total","Total","Person","0",""
"2012","France","VC","Total","Total","Person","0",""
"2012","France","TT","Total","Total","Person","0",""
"2012","France","BZ","Total","Total","Person","0",""
"2012","France","CR","Total","Total","Person","0",""
"2012","France","SV","Total","Total","Person","0",""
"2012","France","GT","Total","Total","Person","0",""
"2012","France","HN","Total","Total","Person","0",""
"2012","France","MX","Total","Total","Person","0",""
"2012","France","NI","Total","Total","Person","0",""
"2012","France","PA","Total","Total","Person","0",""
"2012","France","AR","Total","Total","Person","0",""
"2012","France","BO","Total","Total","Person","0",""
"2012","France","BR","Total","Total","Person","0",""
"2012","France","CL","Total","Total","Person","0",""
"2012","France","CO","Total","Total","Person","0",""
"2012","France","EC","Total","Total","Person","0",""
"2012","France","GY","Total","Total","Person","0",""
"2012","France","PY","Total","Total","Person","0",""
"2012","France","PE","Total","Total","Person","0",""
"2012","France","SR","Total","Total","Person","0",""
"2012","France","UY","Total","Total","Person","0",""
"2012","France","VE","Total","Total","Person","0",""
"2012","France","KZ","Total","Total","Person","0",""
"2012","France","KG","Total","Total","Person","0",""
"2012","France","TJ","Total","Total","Person","0",""
"2012","France","TM","Total","Total","Person","0",""
"2012","France","UZ","Total","Total","Person","0",""
"2012","France","CN","Total","Total","Person","0",""
"2012","France","JP","Total","Total","Person","0",""
"2012","France","MN","Total","Total","Person","0",""
"2012","France","KP","Total","Total","Person","0",""
"2012","France","KR","Total","Total","Person","0",""
"2012","France","TW","Total","Total","Person","0",""
"2012","France","AF","Total","Total","Person","0",""
"2012","France","BD","Total","Total","Person","0",""
"2012","France","BT","Total","Total","Person","0",""
"2012","France","IN","Total","Total","Person","0",""
"2012","France","IR","Total","Total","Person","0",""
"2012","France","MV","Total","Total","Person","0",""
"2012","France","NP","Total","Total","Person","0",""
"2012","France","PK","Total","Total","Person","0",""
"2012","France","LK","Total","Total","Person","0",""
